,precision,recall,f1-score,support
glioma_tumor,0.5,0.13,0.20634920634920634,100.0
meningioma_tumor,0.4701492537313433,0.5478260869565217,0.5060240963855421,115.0
pituitary_tumor,0.375,0.6285714285714286,0.4697508896797153,105.0
no_tumor,0.6724137931034483,0.527027027027027,0.5909090909090909,74.0
accuracy,0.4593908629441624,0.4593908629441624,0.4593908629441624,0.4593908629441624
macro avg,0.5043907617086979,0.4583561356387443,0.4432583208308887,394.0
weighted avg,0.49035732200192805,0.4593908629441624,0.43624062909365685,394.0
